Date,Step count
8/15/2017,31572
8/16/2017,14584
8/17/2017,20819
8/18/2017,22205
8/19/2017,23520
8/20/2017,21966
8/21/2017,21361
8/22/2017,18156
8/23/2017,21585
8/24/2017,20408
8/25/2017,15394
8/26/2017,19674
8/27/2017,17403
8/28/2017,17120
8/29/2017,22839
8/30/2017,21886
8/31/2017,23827
9/1/2017,29000
9/2/2017,27505
9/3/2017,23731
9/4/2017,27305
9/5/2017,19284
9/6/2017,22111
9/7/2017,22744
9/8/2017,27327
9/9/2017,46681
9/10/2017,16488
9/11/2017,16858
9/12/2017,23577
9/13/2017,34984
9/14/2017,23116
9/15/2017,17173
9/16/2017,17999
9/17/2017,19491
9/18/2017,21485
9/19/2017,33779
9/20/2017,17455
9/21/2017,24400
9/22/2017,31117
9/23/2017,21147
9/24/2017,32767
9/25/2017,14475
9/26/2017,21038
9/27/2017,23666
9/28/2017,33258
9/29/2017,20343
9/30/2017,55739
10/1/2017,22277
10/2/2017,23038
10/3/2017,22334
10/4/2017,23306
10/5/2017,51246
10/6/2017,47145
10/7/2017,60136
10/8/2017,27481
10/9/2017,22642
10/10/2017,20310
10/11/2017,28978
10/12/2017,35620
10/13/2017,43643
10/14/2017,78127
10/15/2017,24443
10/16/2017,21436
10/17/2017,23739
10/18/2017,37102
10/19/2017,43531
10/20/2017,45484
10/21/2017,48249
10/22/2017,21407
10/23/2017,24041
10/24/2017,31278
10/25/2017,49141
10/26/2017,41821
10/27/2017,18724
10/28/2017,34800
10/29/2017,49324
10/30/2017,30045
10/31/2017,4571
11/1/2017,6687
11/2/2017,12321
11/3/2017,16714
11/4/2017,19871
11/5/2017,21198
11/6/2017,54
11/7/2017,3757
11/8/2017,24700
11/9/2017,15758
11/10/2017,26119
11/11/2017,39488
11/12/2017,9065
11/13/2017,825
11/14/2017,5316
11/15/2017,22282
11/16/2017,326
11/17/2017,14190
11/18/2017,28882
11/19/2017,13156
11/20/2017,1071
11/21/2017,5547
11/22/2017,14461
11/23/2017,11905
11/24/2017,20291
11/25/2017,28287
11/26/2017,22267
11/27/2017,6389
11/28/2017,5496
11/29/2017,18610
11/30/2017,6138
12/1/2017,32868
12/2/2017,27984
12/3/2017,8416
12/4/2017,17659
12/5/2017,17957
12/6/2017,6611
12/7/2017,19304
12/8/2017,14044
12/9/2017,40940
12/10/2017,6368
12/11/2017,218
12/12/2017,6188
12/13/2017,4867
12/14/2017,10590
12/15/2017,15097
12/16/2017,32381
12/17/2017,15705
12/18/2017,14919
12/19/2017,10299
12/20/2017,85
12/21/2017,11710
12/22/2017,7636
12/23/2017,16748
12/24/2017,13906
12/25/2017,1356
12/26/2017,1254
12/27/2017,2146
12/28/2017,12807
12/29/2017,10061
12/30/2017,10011
12/31/2017,18761
1/1/2018,4893
1/2/2018,3819
1/3/2018,20922
1/4/2018,2088
1/5/2018,7348
1/6/2018,4478
1/7/2018,207
1/8/2018,2262
