Date,Steps
2017-08-03,20896
2017-08-04,24736
2017-08-05,21550
2017-08-06,33021
2017-08-07,21279
2017-08-08,31761
2017-08-09,21171
2017-08-10,35870
2017-08-11,20743
2017-08-12,20920
2017-08-13,21534
2017-08-14,21005
2017-08-15,31572
2017-08-16,14584
2017-08-17,20819
2017-08-18,22205
2017-08-19,23520
2017-08-20,21966
2017-08-21,21361
2017-08-22,18156
2017-08-23,21585
2017-08-24,20408
2017-08-25,15394
2017-08-26,19674
2017-08-27,17403
2017-08-28,17120
2017-08-29,22839
2017-08-30,21886
2017-08-31,23827
2017-09-01,29000
2017-09-02,27505
2017-09-03,23731
2017-09-04,27305
2017-09-05,19284
2017-09-06,22111
2017-09-07,22744
2017-09-08,27327
2017-09-09,46681
2017-09-10,16488
2017-09-11,16858
2017-09-12,23577
2017-09-13,34984
2017-09-14,23116
2017-09-15,17173
2017-09-16,17999
2017-09-17,19491
2017-09-18,21485
2017-09-19,33779
2017-09-20,17455
2017-09-21,24400
2017-09-22,31117
2017-09-23,21147
2017-09-24,32767
2017-09-25,14475
2017-09-26,21038
2017-09-27,23666
2017-09-28,33258
2017-09-29,20343
2017-09-30,55739
2017-10-01,22277
2017-10-02,23038
2017-10-03,22334
2017-10-04,23306
2017-10-05,51246
2017-10-06,47145
2017-10-07,60136
2017-10-08,27481
2017-10-09,22642
2017-10-10,20310
2017-10-11,28978
2017-10-12,35620
2017-10-13,43643
2017-10-14,78127
2017-10-15,24443
2017-10-16,21436
2017-10-17,23739
2017-10-18,37102
2017-10-19,43531
2017-10-20,45484
2017-10-21,48249
2017-10-22,21407
2017-10-23,24041
2017-10-24,31278
2017-10-25,49141
2017-10-26,41821
2017-10-27,18724
2017-10-28,34800
2017-10-29,49324
2017-10-30,30045
2017-10-31,4571
2017-11-01,6687
2017-11-02,12321
2017-11-03,16714
2017-11-04,19871
2017-11-05,21198
2017-11-06,54
2017-11-07,3757
2017-11-08,24700
2017-11-09,15758
2017-11-10,26119
2017-11-11,39488
2017-11-12,9065
2017-11-13,825
2017-11-14,5316
2017-11-15,22282
2017-11-16,326
2017-11-17,14190
2017-11-18,28882
2017-11-19,13156
2017-11-20,1071
2017-11-21,5547
2017-11-22,14461
2017-11-23,11905
2017-11-24,20291
2017-11-25,28287
2017-11-26,22267
2017-11-27,6389
2017-11-28,5496
2017-11-29,18610
2017-11-30,6138
2017-12-01,32868
2017-12-02,27984
2017-12-03,8416
2017-12-04,17659
2017-12-05,17957
2017-12-06,6611
2017-12-07,19304
2017-12-08,14044
2017-12-09,40940
2017-12-10,6368
2017-12-11,218
2017-12-12,6188
2017-12-13,4867
2017-12-14,10590
2017-12-15,15097
2017-12-16,32381
2017-12-17,15705
2017-12-18,14919
2017-12-19,10299
2017-12-20,85
2017-12-21,11710
2017-12-22,7636
2017-12-23,16748
2017-12-24,13906
2017-12-25,1356
2017-12-26,1254
2017-12-27,2146
2017-12-28,12807
2017-12-29,10061
2017-12-30,10011
2017-12-31,18761
2018-01-01,4893
2018-01-02,3819
2018-01-03,20922
2018-01-04,2088
2018-01-05,7348
2018-01-06,4478
2018-01-07,207
2018-01-08,2262
2018-01-09,6750
2018-01-10,111
2018-01-11,219
2018-01-12,15940
2018-01-13,23041
2018-01-14,25607
2018-01-15,6967
2018-01-16,2030
2018-01-17,514
2018-01-18,16072
2018-01-19,13894
2018-01-20,28725
2018-01-21,43623
2018-01-22,34562
2018-01-23,21807
2018-01-24,16272
2018-01-25,17061
2018-01-26,10558
2018-01-27,18231
2018-01-28,15565
2018-01-29,4182
2018-01-30,26891
2018-01-31,10671
2018-02-01,22395
2018-02-02,30909
2018-02-03,14065
2018-02-04,2108
2018-02-05,12791
2018-02-06,20111
2018-02-07,7077
2018-02-08,6510
2018-02-09,10591
2018-02-10,20738
2018-02-11,33791
2018-02-12,18672
2018-02-13,28037
2018-02-14,3704
2018-02-15,10666
2018-02-16,23118
2018-02-17,26196
2018-02-18,30528
2018-02-19,19621
2018-02-20,15307
2018-02-21,21087
2018-02-22,6264
2018-02-23,23959
2018-02-24,37151
2018-02-25,41304
2018-02-26,13708
2018-02-27,20325
2018-02-28,15620
2018-03-01,27264
2018-03-02,19485
2018-03-03,36512
2018-03-04,28135
2018-03-05,2853
2018-03-06,20750
2018-03-07,30114
2018-03-08,30432
2018-03-09,25994
2018-03-10,30814
2018-03-11,12806
2018-03-12,16661
2018-03-13,20331
2018-03-14,20157
2018-03-15,40057
2018-03-16,34084
2018-03-17,13339
2018-03-18,4933
2018-03-19,14094
2018-03-20,18128
2018-03-21,23797
2018-03-22,23413
2018-03-23,35439
2018-03-24,38083
2018-03-25,24042
2018-03-26,1820
2018-03-27,3393
2018-03-28,22392
2018-03-29,36135
2018-03-30,82108
2018-03-31,33163
2018-04-01,8804
2018-04-02,1875
2018-04-03,7457
2018-04-04,19949
2018-04-05,33291
2018-04-06,7022
2018-04-07,34223
2018-04-08,31203
2018-04-09,675
2018-04-10,5611
2018-04-11,21832
2018-04-12,44066
2018-04-13,21080
2018-04-14,5737
2018-04-15,2231
2018-04-16,10662
2018-04-17,37253
2018-04-18,23599
2018-04-19,30560
2018-04-20,57012
2018-04-21,3945
2018-04-22,7996
2018-04-23,31212
2018-04-24,28350
2018-04-25,13922
2018-04-26,38208
2018-04-27,32040
2018-04-28,32333
2018-04-29,19394
2018-04-30,20123
2018-05-01,19401
2018-05-02,18334
2018-05-03,21850
2018-05-04,33769
2018-05-05,44440
2018-05-06,28520
2018-05-07,12464
2018-05-08,5645
2018-05-09,22335
2018-05-10,26762
2018-05-11,26557
2018-05-12,73819
2018-05-13,6298
2018-05-14,17637
2018-05-15,12902
2018-05-16,36147
2018-05-17,13058
2018-05-18,43539
2018-05-19,49988
2018-05-20,43012
2018-05-21,26450
2018-05-22,24724
2018-05-23,30358
2018-05-24,33393
2018-05-25,50060
2018-05-26,53212
2018-05-27,44081
2018-05-28,31937
2018-05-29,33957
2018-05-30,35314
2018-05-31,11479
2018-06-01,86122
2018-06-02,74230
2018-06-03,10674
2018-06-04,13162
2018-06-05,10611
2018-06-06,30226
2018-06-07,4290
2018-06-08,19757
2018-06-09,17421
2018-06-10,41966
2018-06-11,13473
2018-06-12,19719
2018-06-13,21334
2018-06-14,56029
2018-06-15,43968
2018-06-16,75028
2018-06-17,16594
2018-06-18,46503
2018-06-19,3768
2018-06-20,21700
2018-06-21,29966
2018-06-22,63297
2018-06-23,68356
2018-06-24,26910
2018-06-25,3255
2018-06-26,37570
2018-06-27,46515
2018-06-28,30640
2018-06-29,45269
2018-06-30,10650
2018-07-01,13284
2018-07-02,15960
2018-07-03,22200
2018-07-04,45193
2018-07-05,53265
2018-07-06,32388
2018-07-07,87082
2018-07-08,25371
2018-07-09,3820
2018-07-10,31022
2018-07-11,21823
2018-07-12,53295
2018-07-13,57020
2018-07-14,66921
2018-07-15,20362
2018-07-16,11343
2018-07-17,44400
2018-07-18,60197
2018-07-19,36012
2018-07-20,67238
2018-07-21,40953
2018-07-22,2465
2018-07-23,20159
2018-07-24,44376
2018-07-25,45645
2018-07-26,15746
2018-07-27,25284
2018-07-28,48944
2018-07-29,48303
2018-07-30,25126
2018-07-31,22162
2018-08-01,32295
2018-08-02,40275
2018-08-03,38710
2018-08-04,52818
2018-08-05,36956
2018-08-06,26614
2018-08-07,25659
2018-08-08,11554
2018-08-09,22632
2018-08-10,23587
2018-08-11,52175
2018-08-12,30268
2018-08-13,35142
2018-08-14,36044
2018-08-15,30334
2018-08-16,40155
2018-08-17,49272
2018-08-18,24514
2018-08-19,30180
2018-08-20,31563
2018-08-21,46097
2018-08-22,14590
2018-08-23,41541
2018-08-24,15344
2018-08-25,55671
2018-08-26,17093
